Week,winner,home_win,loser,w_score,l_score,w_yards,w_turnovers,l_yards,l_turnovers,winner_penalty_yds ,loser_penalty_yds,winner_top,loser_top
16,Vikings,0,Lions,27,9,340,0,223,0,29,24,1699,1901
16,Patriots,1,Bills,24,12,390,3,289,3,97,95,2085,1515
16,Bears,0,49ers,14,9,325,2,279,1,66,54,2224,1376
16,Rams,0,Cardinals,31,9,461,1,263,0,30,45,2130,1470
16,Saints,1,Steelers,31,28,370,1,429,2,91,79,1720,1880
16,Seahawks,1,Chiefs,38,31,464,0,419,2,20,76,2102,1498
16,Raiders,1,Broncos,27,14,273,0,300,2,50,91,1808,1792
17,Cowboys,0,Giants,36,35,419,1,441,2,24,35,1818,1782
17,Lions,0,Packers,31,0,402,0,175,1,85,30,2086,1514
17,Panthers,0,Saints,33,14,374,0,294,1,46,78,1852,1748
17,Patriots,1,Jets,38,3,375,0,239,3,10,94,2006,1594
17,Bills,1,Dolphins,42,17,381,1,225,4,30,30,1933,1667
17,Texans,1,Jaguars,20,3,342,1,119,2,15,68,2107,1493
17,Falcons,0,Buccaneers,34,32,489,1,433,1,34,38,2214,1386
17,Chiefs,1,Raiders,35,3,409,1,292,4,25,15,2599,1001
17,Chargers,0,Broncos,23,9,276,4,370,4,51,99,1692,1908
17,Eagles,0,Redskins,24,0,360,1,89,1,50,22,1564,2036
17,Bears,0,Vikings,24,10,332,0,164,0,102,30,2228,1372
17,Seahawks,1,Cardinals,27,24,291,1,198,2,65,35,2310,1290
17,Steelers,1,Bengals,16,13,343,1,196,0,57,41,1910,1690
17,Rams,1,49ers,48,32,377,0,391,4,70,85,2062,1538
17,Ravens,1,Browns,26,24,463,1,426,3,10,20,1749,1851
17,Colts,0,Titans,33,17,436,2,258,3,96,75,2413,1187
